data,chuva_mm_dia,pressao_hpa,temperatura_c,temp_max_c,temp_min_c,umidade_pct,ano,evento_extremo
2017-10-03,0.0,1006.9541666666668,17.770833333333332,22.8,13.6,61.5,2017,0
2017-10-04,0.0,1010.2833333333333,21.116666666666667,29.3,13.3,52.166666666666664,2017,0
2017-10-05,0.0,1005.2166666666667,23.0625,30.7,16.2,52.916666666666664,2017,0
2017-10-06,2.4,1007.3249999999999,21.354166666666668,23.3,19.6,82.41666666666667,2017,0
2017-10-07,0.0,1016.2083333333334,19.479166666666668,22.6,16.4,75.70833333333333,2017,0
2017-10-08,0.0,1011.9583333333334,18.845833333333335,22.9,16.7,78.125,2017,0
2017-10-09,0.0,1004.5749999999999,21.4375,27.6,17.2,83.5,2017,0
2017-10-10,14.0,1006.9375,21.283333333333335,24.0,19.3,87.45833333333333,2017,0
2017-10-11,70.4,1006.3708333333334,18.354166666666668,19.7,17.5,99.58333333333333,2017,1
2017-10-12,61.8,1007.4916666666667,18.783333333333335,20.3,17.5,99.29166666666667,2017,1
2017-10-13,39.0,1004.6125000000001,20.066666666666666,22.0,18.1,98.33333333333333,2017,1
2017-10-14,2.2,1011.5583333333334,17.6125,20.3,16.0,89.08333333333333,2017,0
2017-10-15,0.0,1016.4333333333334,17.787499999999998,23.4,12.0,71.25,2017,0
2017-10-16,0.0,1014.3833333333333,19.566666666666666,26.4,14.1,73.54166666666667,2017,0
2017-10-17,0.0,1009.9333333333334,23.004166666666666,30.7,17.1,69.70833333333333,2017,0
2017-10-18,0.6000000000000001,1006.0625,23.233333333333334,27.9,19.6,79.54166666666667,2017,0
2017-10-19,44.6,1004.5625,20.708333333333332,25.1,18.9,87.04166666666667,2017,1
2017-10-20,0.0,1010.1208333333334,19.420833333333334,24.8,14.1,79.79166666666667,2017,0
2017-10-21,3.2,1004.3291666666668,20.037499999999998,21.7,18.3,89.25,2017,0
2017-10-22,0.6000000000000001,1010.6458333333334,17.958333333333332,21.3,14.2,66.54166666666667,2017,0
2017-10-23,0.0,1015.4666666666667,16.125,21.2,11.6,58.125,2017,0
2017-10-24,0.0,1012.775,17.9875,25.9,12.6,70.29166666666667,2017,0
2017-10-25,0.0,1008.6875,20.245833333333334,25.2,16.9,78.16666666666667,2017,0
2017-10-26,0.0,1004.4958333333334,21.6875,27.4,17.5,80.79166666666667,2017,0
2017-10-27,17.8,999.0083333333333,22.266666666666666,26.2,19.7,86.875,2017,0
2017-10-28,0.6000000000000001,999.6083333333332,19.370833333333334,21.3,17.5,84.54166666666667,2017,0
2017-10-29,0.0,1006.2375000000001,20.279166666666665,25.1,16.5,83.66666666666667,2017,0
2017-10-30,0.0,1002.3583333333332,22.59166666666667,27.2,18.8,78.29166666666667,2017,0
2017-10-31,0.0,1009.5749999999999,19.845833333333335,23.3,16.1,65.16666666666667,2017,0
2017-11-01,0.0,1012.9916666666667,18.954166666666666,25.8,12.3,58.708333333333336,2017,0
2017-11-02,0.0,1010.625,21.220833333333335,30.1,15.1,61.708333333333336,2017,0
2017-11-03,4.0,1003.9333333333334,21.65833333333333,23.7,18.3,77.58333333333333,2017,0
2017-11-04,26.400000000000002,1004.0791666666668,19.6875,21.5,17.9,89.91666666666667,2017,0
2017-11-05,0.0,1011.1791666666667,18.479166666666668,23.9,13.1,75.75,2017,0
2017-11-06,0.0,1012.4833333333332,19.55,24.7,15.6,72.875,2017,0
2017-11-07,0.0,1009.6291666666666,21.275000000000002,27.8,16.3,72.66666666666667,2017,0
2017-11-08,7.2,1006.6208333333334,20.020833333333332,22.5,18.2,82.04166666666667,2017,0
2017-11-09,3.8000000000000003,1005.1291666666666,22.266666666666666,29.3,17.4,82.91666666666667,2017,0
2017-11-10,6.4,1004.9208333333332,19.929166666666667,21.6,18.3,91.83333333333333,2017,0
2017-11-11,0.0,1002.4208333333332,21.245833333333334,28.6,15.3,68.79166666666667,2017,0
2017-11-12,0.0,1003.0291666666667,20.587500000000002,25.8,15.7,56.666666666666664,2017,0
2017-11-13,0.0,1007.475,21.491666666666664,29.0,15.2,67.45833333333333,2017,0
2017-11-14,0.0,1008.4875000000001,22.491666666666664,30.0,15.5,61.666666666666664,2017,0
2017-11-15,0.0,1002.4416666666666,26.366666666666664,35.1,18.4,55.875,2017,0
2017-11-16,12.6,1002.6041666666666,23.15416666666667,27.3,17.1,70.875,2017,0
2017-11-17,1.4000000000000001,1004.275,20.0,25.0,16.8,84.875,2017,0
2017-11-18,5.0,1000.5833333333334,21.866666666666664,27.7,19.1,82.33333333333333,2017,0
2017-11-19,0.0,1005.8291666666668,19.808333333333334,24.7,14.1,59.791666666666664,2017,0
2017-11-20,0.0,1006.6916666666666,21.316666666666666,28.9,14.2,65.25,2017,0
2017-11-21,4.0,1005.2166666666667,20.370833333333334,25.2,16.6,85.625,2017,0
2017-11-22,1.0,1008.7708333333334,17.9625,22.3,14.5,71.79166666666667,2017,0
2017-11-23,0.0,1007.8000000000001,19.708333333333332,28.2,11.9,59.333333333333336,2017,0
2017-11-24,0.0,1006.9916666666667,21.316666666666666,29.1,16.3,71.54166666666667,2017,0
2017-11-25,40.8,1009.4375,17.8625,20.9,16.0,86.70833333333333,2017,1
2017-11-26,23.2,1003.8958333333334,19.325,23.1,17.4,92.45833333333333,2017,0
2017-11-27,0.2,1007.1374999999999,21.729166666666668,29.2,16.1,77.29166666666667,2017,0
2017-11-28,0.0,1012.7083333333334,21.554166666666664,25.2,18.8,77.16666666666667,2017,0
2017-11-29,0.0,1011.35,19.837500000000002,23.5,16.5,78.54166666666667,2017,0
2017-11-30,0.0,1007.7041666666668,20.587500000000002,24.1,18.3,76.54166666666667,2017,0
2017-12-01,0.0,1007.4833333333332,21.5625,25.8,18.3,77.95833333333333,2017,0
2017-12-02,0.0,1006.6999999999999,23.616666666666664,30.7,18.4,74.625,2017,0
2017-12-03,1.4,1003.7666666666668,23.2625,28.2,20.8,77.125,2017,0
2017-12-04,2.2,1006.0500000000001,21.5625,23.7,19.5,89.08333333333333,2017,0
2017-12-05,2.8000000000000003,1011.1958333333333,20.795833333333334,24.3,18.4,87.45833333333333,2017,0
2017-12-06,0.0,1006.2916666666666,24.650000000000002,30.6,20.1,79.29166666666667,2017,0
2017-12-07,79.6,1002.1416666666668,23.3625,27.0,21.0,89.95833333333333,2017,1
2017-12-08,0.0,1003.1541666666667,23.941666666666666,28.7,19.9,77.125,2017,0
2017-12-09,0.0,1002.8375,23.650000000000002,30.8,17.9,73.41666666666667,2017,0
2017-12-10,0.7999999999999999,998.5875,25.691666666666666,34.6,19.6,67.83333333333333,2017,0
2017-12-11,0.0,1004.9333333333334,21.933333333333334,25.1,18.7,68.70833333333333,2017,0
2017-12-12,0.0,1010.4333333333334,20.3875,26.1,15.4,65.0,2017,0
2017-12-13,0.0,1007.7083333333334,24.53333333333333,33.0,17.4,62.125,2017,0
2017-12-14,0.0,1005.9041666666667,26.491666666666664,33.5,21.3,69.33333333333333,2017,0
2017-12-15,0.0,1006.6458333333334,26.150000000000002,32.0,21.2,66.04166666666667,2017,0
2017-12-16,0.0,1003.6,27.358333333333334,35.5,21.9,72.29166666666667,2017,0
2017-12-17,7.6,1001.9333333333334,26.59166666666667,34.5,22.9,77.79166666666667,2017,0
2017-12-18,1.2000000000000002,1013.6583333333333,20.104166666666668,22.0,18.1,76.91666666666667,2017,0
2017-12-19,0.0,1011.6833333333334,22.291666666666668,28.3,18.7,76.75,2017,0
2017-12-20,0.2,1006.9958333333334,23.795833333333334,27.4,21.1,85.95833333333333,2017,0
2017-12-21,0.0,1005.3874999999999,25.125,30.8,21.1,81.125,2017,0
2017-12-22,0.0,1003.6625,26.3625,32.7,21.1,74.5,2017,0
2017-12-23,35.0,1000.15,25.141666666666666,30.2,21.6,84.95833333333333,2017,1
2017-12-24,6.0,1004.2416666666667,22.145833333333332,24.2,19.7,85.45833333333333,2017,0
2017-12-25,0.2,1008.7916666666666,21.054166666666667,26.2,16.4,70.375,2017,0
2017-12-26,0.0,1007.1999999999999,23.108333333333334,31.0,16.7,72.625,2017,0
2017-12-27,0.0,1006.8249999999999,25.599999999999998,33.1,20.3,73.70833333333333,2017,0
2017-12-28,0.0,1006.7583333333333,25.604166666666668,32.9,21.1,80.25,2017,0
2017-12-29,16.200000000000003,1004.6625,24.72083333333333,30.0,22.3,82.5,2017,0
2017-12-30,0.0,1002.15,25.22083333333333,30.8,20.7,76.33333333333333,2017,0
2017-12-31,0.0,1001.275,25.933333333333334,32.7,20.4,72.04166666666667,2017,0
2018-01-01,19.4,1001.0666666666666,24.641666666666666,30.8,20.9,83.70833333333333,2018,0
2018-01-02,3.4,998.025,23.145833333333332,27.1,21.4,89.08333333333333,2018,0
2018-01-03,0.4,1000.8541666666666,24.099999999999998,29.4,20.3,76.45833333333333,2018,0
2018-01-04,0.0,1005.1708333333332,26.075,33.3,18.9,61.041666666666664,2018,0
2018-01-05,0.0,1004.2291666666666,28.370833333333334,35.5,21.2,52.458333333333336,2018,0
2018-01-06,0.0,1006.7041666666668,25.170833333333334,28.7,22.0,66.66666666666667,2018,0
2018-01-07,0.0,1012.3416666666667,22.204166666666666,27.5,16.5,62.916666666666664,2018,0
2018-01-08,0.0,1013.7583333333333,22.854166666666668,28.1,18.5,68.75,2018,0
2018-01-09,0.0,1014.1083333333332,23.895833333333332,29.9,18.6,72.41666666666667,2018,0
2018-01-10,34.0,1012.0208333333334,25.245833333333334,32.5,22.1,79.0,2018,1
2018-01-11,0.0,1009.4958333333334,24.808333333333334,29.7,21.8,78.875,2018,0
2018-01-12,1.0,1005.5708333333333,24.520833333333332,29.5,22.0,83.83333333333333,2018,0
