data,chuva_mm_dia,pressao_hpa,temperatura_c,temp_max_c,temp_min_c,umidade_pct,ano,evento_extremo,chuva_lag1,chuva_lag2,pressao_lag1,chuva_mm7d,temp_mm7d,umid_mm7d,pressao_delta,mes_1,mes_2,mes_3,mes_4,mes_5,mes_6,mes_7,mes_8,mes_9,mes_10,mes_11,mes_12
2015-02-06,0.8,1004.1791666666668,24.22083333333333,28.2,21.1,75.95833333333333,2015,0,12.4,0.0,1004.3833333333332,2.3714285714285728,24.726190476190478,75.42261904761905,-0.20416666666642413,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-07,0.0,1003.6166666666668,23.575,28.5,19.8,71.0,2015,0,0.8,12.4,1004.1791666666668,2.4857142857142867,24.98095238095238,75.94642857142857,-0.5625,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-08,0.0,1004.9125,24.0375,30.5,18.2,69.25,2015,0,0.0,0.8,1003.6166666666668,2.4857142857142867,25.097619047619048,75.66071428571429,1.2958333333332348,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-09,0.8,1003.2041666666668,24.829166666666666,32.8,20.1,75.20833333333333,2015,0,0.0,0.0,1004.9125,1.8857142857142868,24.96071428571429,74.60119047619047,-1.7083333333332575,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-10,0.4,1003.5291666666668,26.40416666666667,34.3,20.9,73.75,2015,0,0.8,0.0,1003.2041666666668,2.000000000000001,24.694047619047616,74.83928571428571,0.3250000000000455,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-11,23.8,1006.2583333333332,24.325,27.0,22.0,85.875,2015,0,0.4,0.8,1003.5291666666668,2.0571428571428583,24.722619047619048,74.19047619047619,2.7291666666664014,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-12,0.0,1006.45,25.975,31.9,22.7,80.125,2015,0,23.8,0.4,1006.2583333333332,5.457142857142857,24.540476190476188,75.82142857142857,0.1916666666668334,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-13,0.0,1009.0625,25.90833333333333,30.8,23.8,82.54166666666667,2015,0,0.0,23.8,1006.45,3.685714285714287,24.76666666666667,75.88095238095238,2.6124999999999545,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-14,0.0,1011.625,23.47083333333333,26.1,21.5,76.91666666666667,2015,0,0.0,0.0,1009.0625,3.5714285714285725,25.007738095238096,76.82142857142857,2.5625,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-15,0.0,1011.7,23.71666666666667,27.2,21.3,67.5,2015,0,0.0,0.0,1011.625,3.5714285714285725,24.992857142857144,77.66666666666666,0.07500000000004547,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-16,0.0,1010.3916666666668,23.275,27.6,20.8,75.95833333333333,2015,0,0.0,0.0,1011.7,3.5714285714285725,24.94702380952381,77.41666666666666,-1.3083333333332803,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-17,0.8,1008.4208333333332,23.75,29.3,19.9,78.54166666666667,2015,0,0.0,0.0,1010.3916666666668,3.457142857142858,24.724999999999998,77.52380952380953,-1.9708333333335304,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-18,0.0,1003.8041666666668,24.754166666666663,29.7,20.8,75.33333333333333,2015,0,0.8,0.0,1008.4208333333332,3.5142857142857156,24.345833333333335,78.20833333333334,-4.616666666666447,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-19,2.6,999.7875,25.766666666666666,32.9,22.1,76.91666666666667,2015,0,0.0,0.8,1003.8041666666668,0.11428571428571531,24.407142857142862,76.70238095238096,-4.016666666666765,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-20,1.0,1005.3458333333332,23.633333333333336,25.3,22.4,85.5,2015,0,2.6,0.0,999.7875,0.48571428571428676,24.37738095238095,76.24404761904762,5.558333333333167,0,1,0,0,0,0,0,0,0,0,0,0
